Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,4906145613282734208,5.618519,-59.94259,12.074,0.77,0.0,0.0,0.0,0.21,0.21,0.75,2.912,,,,0.935,,Gaia_DR3,-22.34,-5.039,-22.34,0.01,-5.039,0.011
Gaia,DR3,4906254323199006720,6.5736633,-59.5389793,19.236,2.578,2.801,0.6281,10.9629,-0.15,,,2.828,,,,1.01,,,-21.618,-5.204,-19.962,0.218,-4.99,0.236
Gaia,DR3,4906145608987769216,5.6170623,-59.9406647,19.032,2.641,2.137,0.0021,20.4277,0.21,,,3.096,,,,1.02,,,-23.753,-5.357,-22.363,0.177,-5.478,0.222
Gaia,DR3,4904712189421622656,0.7590151,-62.3771925,19.463,2.78,0.813,3.3779,21.1943,2.0,,,2.865,,,,1.065,,,-22.253,-3.284,-22.212,0.316,-3.773,0.265
Gaia,DR3,4900924921619719680,7.4097825,-63.0835146,18.6,2.684,4.893,3.2547,22.1465,0.15,,,2.83,,,,0.983,,,-21.569,-5.486,-20.819,0.132,-8.307,0.14
Gaia,DR3,4902609721326874240,11.8972299,-61.6334141,19.398,2.507,1.88,3.4978,22.5546,-1.41,,,2.848,,,,1.035,,,-21.258,-7.003,-21.29,0.29,-8.131,0.263
Gaia,DR3,4919531407141505536,3.8781326,-56.5009069,19.345,2.716,3.253,3.5613,22.6583,0.33,,,2.985,,,,1.044,,,-23.017,-4.581,-21.41,0.243,-5.849,0.249
Gaia,DR3,4906221234771513216,5.8350291,-59.4323533,19.397,2.682,1.723,0.5218,23.7188,0.07,,,2.726,,,,1.011,,,-20.894,-4.785,-20.344,0.264,-3.962,0.287
Gaia,DR3,4904517850741540608,0.6350469,-62.6293324,19.29,2.783,3.834,3.5968,24.3823,2.06,,,3.019,,,,0.961,,,-23.455,-3.41,-21.03,0.227,-3.677,0.236
Gaia,DR3,6488135686494670720,357.8518108,-60.6421843,19.028,2.807,1.478,3.9096,25.455,2.75,,,2.836,,,,0.936,,,-22.123,-2.309,-22.981,0.175,-2.524,0.181
Gaia,DR3,4919006806951492096,6.4592954,-56.6473119,16.883,2.169,2.482,3.3247,27.3804,-0.55,,,2.766,,,,1.027,,,-21.152,-5.044,-21.297,0.051,-3.604,0.059
Gaia,DR3,4902204929249220608,11.1725458,-62.9617379,15.747,1.814,2.678,4.0172,27.7921,-0.94,,,2.805,,,,1.059,,,-21.019,-6.679,-20.608,0.038,-8.208,0.032
Gaia,DR3,4901282988749358336,3.6862907,-63.2465276,13.961,1.136,2.509,3.429,28.0223,1.24,0.56,2.13,2.764,,,,0.897,,Gaia_DR3,-21.326,-4.126,-22.533,0.015,-4.951,0.015
Gaia,DR3,4901574324970993792,4.1657697,-62.4494642,18.869,2.932,2.977,2.6026,28.4256,1.0,,,3.132,,,,1.007,,,-24.137,-4.867,-25.794,0.175,-5.925,0.181
Gaia,DR3,4920227329281653120,9.7311185,-56.7311456,18.274,2.787,4.501,3.868,30.233,-1.67,,,3.094,,,,1.026,,,-23.348,-6.767,-23.108,0.127,-3.84,0.118
Gaia,DR3,4710104128863351040,13.8935381,-62.8026948,12.269,0.753,2.561,4.8828,30.3608,-1.74,19.87,0.97,2.854,,,,1.587,,Gaia_DR3,-21.061,-7.69,-19.619,0.017,-7.147,0.018
Gaia,DR3,4902612848063106176,11.8341083,-61.5860447,19.249,2.855,2.762,3.4501,31.1255,-1.41,,,3.13,,,,1.032,,,-23.37,-7.672,-25.038,0.272,-6.937,0.21
Gaia,DR3,4900662928615058304,9.3863619,-63.5086029,19.763,2.755,4.366,3.9862,31.7863,-0.34,,,3.11,,,,1.067,,,-23.503,-6.756,-20.7,0.392,-6.175,0.299
